   185.25.205.152  60798   0.0                      (Milan, Lombardy, IT, EU) 152.205.25.185.servereasy.it                                                                        
   185.25.205.1    60798   0.46                     (Milan, Lombardy, IT, EU) 1.205.25.185.servereasy.it                                                                          
   45.138.18.1     60798   1.451                   (Monopoli, Apulia, IT, EU)                                                                                                     
╭─ 78.152.49.149   3257    1.099                    (Milan, Lombardy, IT, EU) eth1-1.r1.mil1.it.atrato.net                                                                        
S&T (3257)  
╰─ 89.149.137.189  3257    19.665                       (London, ENG, GB, EU) ae34.cr1-lon1.ip4.gtt.net                                                                           
   154.14.154.110  3257    19.913                 (Shadwell, England, GB, EU) ip4.gtt.net                                                                                         
   185.180.186.62  60670   23.252               (Broadstone, England, GB, EU) 185-180-186-62.as60670.uk                                                                           
   37.143.136.249  196745  23.625                  (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  23.817                    (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
