   109.230.208.226 199610  0.0                  (Clifton, New Jersey, US, NA)                                                                                                     
   45.159.5.193    199610  0.897            (New York City, New York, US, NA)                                                                                                     
   85.190.172.2    *       1.068            (New York City, New York, US, NA)                                                                                                     
   128.241.10.212  2914    1.509            (New York City, New York, US, NA) ce-4-1-1-1001.a02.nycmny17.us.bb.gin.ntt.net                                                        
   129.250.3.16    2914    2.103                         (None, None, US, NA) ae-5.sayonara-dorian.r24.lsanca07.us.bb.gin.ntt.net                                                 
   129.250.2.215   2914    2.003                         (None, None, US, NA) ae-1.sayonara-dorian.a00.nwrknj03.us.bb.gin.ntt.net                                                 
   128.241.10.173  2914    2.67                (Carteret, New Jersey, US, NA) ae-0.24-shells.nwrknj03.us.bb.gin.ntt.net                                                           
   23.148.232.1    59678   2.429              (Middlesex, New Jersey, US, NA) xgw-0101-ewr1.int.36.services                                                                       
   23.148.232.6    59678   2.734             (Piscataway, New Jersey, US, NA) us-pil-as59678.anchors.atlas.ripe.net                                                               
