   80.82.241.134   28792   0.0                      (London, England, GB, EU) 134-241-82-80.in-addr.pblin.net                                                                     
   80.82.241.133   28792   0.767                    (Oxford, England, GB, EU) 133-241-82-80.in-addr.pblin.net                                                                     
   80.82.243.126   28792   0.31                     (Witney, England, GB, EU) gi0-0-1.oxf-core-02.ip.pblin.net                                                                    
   80.82.243.121   28792   2.907                    (London, England, GB, EU) gi2-0-1.lon-core-01.ip.pblin.net                                                                    
   80.82.243.140   28792   2.899                        (Witney, ENG, GB, EU) gi0-0-0.lon-core-02.ip.pblin.net                                                                    
   80.82.243.152   28792   8.086                        (Witney, ENG, GB, EU) te0-3-0.man-core-01.ip.pblin.net                                                                    
╭─ 212.222.90.21   3257    8.327                  (Didsbury, England, GB, EU) ae7-250.cr1-man1.ip4.gtt.net                                                                        
T (3257)  
╰─ 213.200.117.138 3257    24.208             (Frankfurt am Main, HE, DE, EU) ae22.cr2-fra6.ip4.gtt.net                                                                           
   87.119.97.186   201011  18.858             (Frankfurt am Main, HE, DE, EU) ip4.gtt.net                                                                                         
   81.95.15.69     201011  19.104             (Frankfurt am Main, HE, DE, EU) ae2-2029.fra10.core-backbone.com                                                                    
   5.56.20.54      15817   19.532                        (None, None, DE, EU) *                                                                                                   
   178.16.60.129   15817   25.578                        (None, None, DE, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
