   194.1.149.210   42409   0.0                       (Tirana, Tirana, AL, EU)                                                                                                     
   194.1.149.238   42409   0.478                     (Tirana, Tirana, AL, EU)                                                                                                     
   194.1.149.249   42409   0.869                     (Tirana, Tirana, AL, EU)                                                                                                     
╭─ 217.24.245.21   42313   2.115                     (Tirana, Tirana, AL, EU)                                                                                                     
S&T (42313, 6762)  italy-albania ✓
╰─ 195.22.192.204  6762    16.326                   (Milan, Lombardy, IT, EU) xe10-2-0.milano51.mil.seabone.net                                                                   
   93.186.128.57   6762    16.716                         (Milan, 25, IT, EU) ae0.milano61.mil.seabone.net                                                                        
   93.186.128.57   6762    16.716                         (Milan, 25, IT, EU) ae0.milano61.mil.seabone.net                                                                        
   195.22.205.150  6762    44.342                   (Milan, Lombardy, IT, EU)                                                                                                     
   194.116.77.35   41364   42.934                   (Turin, Piedmont, IT, EU)                                                                                                     
