   103.170.25.13   142360  0.0               (Semarang, Central Java, ID, AS) ipv4-13-25-170-103.nexa.net.id                                                                      
   103.170.25.9    142360  0.196             (Semarang, Central Java, ID, AS) ipv4-9-25-170-103.nexa.net.id                                                                       
   103.170.24.249  142360  0.197             (Semarang, Central Java, ID, AS) ipv4-249-24-170-103.nexa.net.id                                                                     
   49.128.180.69   55666   0.484             (Semarang, Central Java, ID, AS) ipv4-69-180-128.gmedia.net.id                                                                       
   119.2.55.193    55666   9.294                   (Jakarta, Jakarta, ID, AS) ipv4-193-55-2.as55666.net                                                                           
   119.11.184.28   10217   7.206                   (Jakarta, Jakarta, ID, AS)                                                                                                     
   117.20.51.61    23951   7.577                   (Jakarta, Jakarta, ID, AS) 117-20-51-61.as23951.net                                                                            
   202.152.153.211 23951   17.663                       (Babadan, JT, ID, AS) 202-152-153-211.as23951.net                                                                         
   202.152.153.9   23951   17.924                       (Babadan, JT, ID, AS) 202-152-153-9.as23951.net                                                                           
   202.152.129.74  23951   17.75             (Yogyakarta, Yogyakarta, ID, AS) 202-152-129-74.citra.net.id                                                                         
