   80.82.242.39    28792   0.0                  (Manchester, England, GB, EU) 39-242-82-80.in-addr.pblin.net                                                                      
   80.82.242.38    28792   0.543                  (Didsbury, England, GB, EU) 38-242-82-80.in-addr.pblin.net                                                                      
   80.82.243.241   28792   0.222                  (Didsbury, England, GB, EU) gi0-2-0.man-core-01.ip.pblin.net                                                                    
   212.222.90.21   3257    0.457                  (Didsbury, England, GB, EU) ae7-250.cr1-man1.ip4.gtt.net                                                                        
╭─ 213.200.117.14  3257    0.425 (6.118)                   (London, ENG, GB, EU) ae4.cr4-lon8.ip4.gtt.net                                                                            
S&T (3257, 47720)  geo-eirgrid ✘ || exa-north-and-south ✘ || havhingstenceltixconnect-2-cc-2 © || sirius-south ✘ || esat-2 ✘ || rockabill © || esat-1 ✘ || pan-european-crossing-uk-ireland ✓ || exa-express ✘ || solas ✓
╰─ 77.67.81.118    47720   13.401                       (Dublin, L, IE, None) ip4.gtt.net                                                                                         
   91.103.0.196    47720   13.415                           (Cork, M, IE, EU) *                                                                                                   
   91.103.0.99     42953   14.27                            (Cork, M, IE, EU) *                                                                                                   
   185.6.39.132    42953   13.717                     (Cork, Munster, IE, EU)                                                                                                     
