   185.71.177.180  200675  0.0                    (Boden, Norrbotten, SE, EU)                                                                                                     
   185.71.177.178  200675  0.35                   (Boden, Norrbotten, SE, EU) ge65-0-42-1001.br3.hybod.hydro66.net                                                                
   94.140.62.189   12552   0.56                   (Boden, Norrbotten, SE, EU)                                                                                                     
   146.247.205.243 12552   17.709         (Göteborg, Västra Götaland, SE, EU)                                                                                                     
╭─ 212.112.170.163 12552   18.592         (Göteborg, Västra Götaland, SE, EU)                                                                                                     
T (12552, 30950)  
╰─ 193.28.236.18   30950   18.447                        (None, None, NO, EU) ba-u-gw-2.bkkb.no                                                                                   
   193.28.236.37   30950   25.881                        (Oslo, Oslo, NO, EU) e-t-gw.bkkb.no                                                                                      
   62.50.160.105   35132   26.795                    (Stodsbuoye, 34, NO, EU) 105.62-50-160.enivest.net                                                                           
   62.50.171.162   35132   26.008                   (Førde, Vestland, NO, EU) 162.62-50-171.enivest.net                                                                           
