   45.76.126.106   20473   0.0              (Sydney, New South Wales, AU, OC) 45.76.126.106.vultrusercontent.com                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   100.100.200.1   *       1.082 (11.794)                                     ***                                                                                                     
   10.74.1.13      *       1.19                                           ***                                                                                                     
   10.74.5.5       *       0.631                                          ***                                                                                                     
   10.74.1.182     *       0.924                                          ***                                                                                                     
╭─ 63.218.157.9    3491    1.23             (Sydney, New South Wales, AU, OC) 63-218-157-9.static.pccwglobal.net                                                                  
S (3491)  australia-japan-cable-ajc ✓
╰─ 63.218.146.42   3491    113.456                        (Tokyo, 13, JP, AS) Hu0-4-0-3.br03.tok01.pccwbtn.net                                                                    
   63.222.190.5    3491    113.429                     (Tokyo, Tokyo, JP, AS)                                                                                                     
