   31.15.54.138    1257    0.0              (Linköping, Östergötland, SE, EU)                                                                                                     
   31.15.54.137    1257    0.303                (Slaka, Östergötland, SE, EU)                                                                                                     
   192.36.132.254  1257    0.75 (2.336)       (Linköping, Östergötland, SE, EU)                                                                                                     
   37.233.77.225   1257    1.197                (Slaka, Östergötland, SE, EU) host-37-233-76-225.ipv4.regusnet.com                                                                
   81.216.114.68   1257    0.833                (Slaka, Östergötland, SE, EU) lkg462-sn-1.eth-trunk4s2330106.tele2.net                                                            
   91.129.19.83    1257    16.373           (Linköping, Östergötland, SE, EU) lin3-sn-1.eth-trunk2.tele2.net                                                                      
   91.129.19.80    1257    16.339           (Linköping, Östergötland, SE, EU) lkg456-sn-1.eth-trunk2.tele2.net                                                                    
   91.129.19.78    1257    16.481           (Linköping, Östergötland, SE, EU) ch-lin-agg-1.bundle-ether6.tele2.net                                                                
   91.129.13.94    1257    16.283           (Linköping, Östergötland, SE, EU) nrk316-agg-1.bundle-ether2.tele2.net                                                                
   91.129.16.156   1257    16.321           (Linköping, Östergötland, SE, EU) avk-cagg-1.bundle-ether49.tele2.net                                                                 
╭─ 91.129.14.227   1257    16.236              (Stockholm, Stockholm, SE, EU) tvt-agg-1.bundle-ether6.tele2.net                                                                   
S (1257)  
╰─ 91.129.14.157   1257    16.228                  (Vilnius, Vilnius, LT, EU) vlna00-agg-1.bundle-ether8.tele2.net                                                                
   91.129.14.187   1257    15.988                  (Vilnius, Vilnius, LT, EU) vlna00-peer-1.ae1-unit0.tele2.net                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   84.32.141.214   33922   17.245                       (Vilnius, VL, LT, EU) *                                                                                                   
   62.80.224.48    25406   19.528                      (Šiauliai, SA, LT, EU) sl-48.splius.lt                                                                                     
   62.80.224.100   25406   19.484                      (Šiauliai, SA, LT, EU) sl-100.splius.lt                                                                                    
   62.80.227.146   25406   19.632                (Šiauliai, Siauliai, LT, EU) hst-227-146.splius.lt                                                                               
