   156.154.53.254  12008   0.0                         (Dubai, Dubai, AE, AS)                                                                                                     
   156.154.53.253  12008   0.322                       (Dubai, Dubai, AE, AS)                                                                                                     
   217.151.46.26   4637    0.837                       (Dubai, Dubai, AE, AS) unknown.telstraglobal.net                                                                           
╭─ 202.84.204.46   4637    1.768                       (Dubai, Dubai, AE, AS) i-102.uddm-core01.telstraglobal.net                                                                 
S (4637)  seamewe-3 👍 || seamewe-5 ✓
╰─ 202.84.207.189  4637    78.038              (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.207.189  4637    78.038              (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.224.197  4637    76.804              (Singapore, Singapore, SG, AS) i-91.istt04.telstraglobal.net                                                                       
   27.111.228.186  *       76.17               (Singapore, Singapore, SG, AS) 14907.sgw.equinix.com                                                                               
   103.102.166.20  14907   77.381              (Singapore, Singapore, SG, AS) ripe-atlas-eqsin.wikimedia.org                                                                      
