   206.196.178.150 10886   0.0                     (Reston, Virginia, US, NA) us-xqm-as10886.anchors.atlas.ripe.net                                                               
   206.196.178.149 10886   0.471             (Pimmit Hills, Virginia, US, NA)                                                                                                     
   206.196.177.81  11164   2.204                     (Washington, DC, US, NA) et-2-3-0-1277.rtsw.wash.net.internet2.edu                                                           
   163.253.1.118   11164   2.516                         (None, None, US, NA) fourhundredge-0-0-0-0.4079.core1.ashb.net.internet2.edu                                             
   163.253.1.131   11164   2.566                         (None, None, US, NA) fourhundredge-0-0-0-48.4079.agg2.ashb.net.internet2.edu                                             
   206.126.236.37  6939    2.69                         (Ashburn, VA, US, NA) as6939.10gigabitethernet2-2.core1.ash1.he.net                                                       
   ***             *       -inf                                           *** *                                                                                                   
   184.104.188.217 6939    24.122                    (Miami, Florida, US, NA) port-channel27.core2.mia1.he.net                                                                    
   216.66.15.254   23520   25.677                   (North Miami, FL, US, NA) asurnet-inc.100gigabitethernet7-1.core1.mia1.he.net                                                 
   69.79.104.1     23520   25.739                   (North Miami, FL, US, NA) ae1.nmi-mx2020-2.north-miami.fl.usa.cwc.com                                                         
╭─ 69.79.102.47    64126   41.483                        (None, None, US, NA) *                                                                                                   
S (64126, 264605)  
╰─ 131.108.236.65  264605  41.832                           (Moca, 9, DO, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   138.255.248.5   264605  43.195          (Moca, Espaillat Province, DO, NA)                                                                                                     
