   5.158.64.189    199181  0.0                (Battipaglia, Campania, IT, EU)                                                                                                     
   5.158.64.129    199181  0.54             (Torre dei Rai, Campania, IT, EU)                                                                                                     
   5.158.64.237    199181  0.578            (Torre dei Rai, Campania, IT, EU)                                                                                                     
   77.39.128.5     199181  0.471            (Torre dei Rai, Campania, IT, EU)                                                                                                     
   89.221.32.36    6762    0.495 (5.36)                   (Rome, Lazio, IT, EU) et0-0-32-0.roma54.rom.seabone.net                                                                   
   195.22.196.213  6762    12.842                         (Milan, 25, IT, EU) ae9.milano30.mil.seabone.net                                                                        
   93.186.128.29   41327   13.505                         (Milan, 25, IT, EU) fiber-telecom.milano30.mil.seabone.net                                                              
   185.157.228.37  41327   27.059                       (Rome, Lazio, IT, EU) 37-228-157-185.fibertelecom.it                                                                      
   185.157.231.49  41327   27.047                   (Palermo, Sicily, IT, EU) 49-231-157-185.fibertelecom.it                                                                      
