   200.7.84.24     28000   0.0       (Montevideo, Montevideo Department, UY, SA) uy-mvd-as28000.anchors.atlas.ripe.net                                                               
   200.7.84.34     28000   2.055     (Montevideo, Montevideo Department, UY, SA) edgemvd01-bbone.lacnic.net.uy                                                                       
   200.40.98.28    6057    6.0       (Montevideo, Montevideo Department, UY, SA)                                                                                                     
   179.31.62.94    6057    29.072    (Colonia del Sacramento, Colonia, UY, SA) brmlg1.pdp-be15.antel.net.uy                                                                        
╭─ 179.31.62.39    6057    29.998                        (None, None, UY, SA) crsan1.gru-ae1038.antel.net.uy                                                                      
S (6057)  
╰─ 45.6.54.203     6057    28.55                 (Rio de Janeiro, RJ, BR, SA) as6057.riodejaneiro.rj.ix.br                                                                        
   45.6.53.167     *       56.59     (Rio de Janeiro, Rio de Janeiro, BR, SA) as264479.riodejaneiro.rj.ix.br                                                                      
   138.117.32.6    264479  55.453           (Feira de Santana, Bahia, BR, SA) 138-117-32-6.static.turbozoneinternet.net.br                                                        
   138.117.32.11   264479  54.506           (Feira de Santana, Bahia, BR, SA) 138-117-32-11.static.turbozoneinternet.net.br                                                       
