   76.26.115.194   7922    0.0           (Philadelphia, Pennsylvania, US, NA) ripeatlas-wc-a1p.sys.comcast.net                                                                    
   76.26.115.193   7922    0.742         (West Chester, Pennsylvania, US, NA) gi-103-0-0-28-ur21-d.westchester.pa.bo.comcast.net                                                  
   68.85.137.214   7922    0.924         (West Chester, Pennsylvania, US, NA) be21-ar01-d.westchester.pa.bo.comcast.net                                                           
   68.86.92.17     7922    5.246                  (Ashburn, Virginia, US, NA) be-39811-cs01.beaumeade.va.ibone.comcast.net                                                        
   96.110.32.122   7922    5.409                        (Ashburn, VA, US, NA) be-2111-pe11.ashburn.va.ibone.comcast.net                                                           
   216.6.87.125    6453    5.144                        (Ashburn, VA, US, NA) ix-ae-21-0.tcore3.aeq-ashburn.as6453.net                                                            
   216.6.87.93     6453    6.904                  (Ashburn, Virginia, US, NA) if-bundle-52-2.qcore1.aeq-ashburn.as6453.net                                                        
   216.6.87.83     6453    7.432            (New York City, New York, US, NA) if-ae-30-2.tcore3.nto-newyork.as6453.net                                                            
   66.110.96.62    6453    7.37                        (New York, NY, US, NA) if-be-2-2.ecore1.n75-newyork.as6453.net                                                             
   66.110.96.58    6453    7.209                       (New York, NY, US, NA) if-ae-57-2.tcore1.n75-newyork.as6453.net                                                            
   66.110.96.26    14061   7.183                       (New York, NY, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.131.160.184 14061   7.722                (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
