   45.65.244.254   265721  0.0                  (Sosúa, Puerto Plata, DO, NA) ripeatlas-anchor.cableatlantico.com                                                                 
   45.65.244.253   265721  0.23                 (Sosúa, Puerto Plata, DO, NA) linea-dedicada-244-253.cableatlantico.com                                                           
╭─ 200.58.244.1    265721  0.591                (Sosúa, Puerto Plata, DO, NA) puertoplata-link-100g.cableatlantico.com                                                            
S (265721, 64126)  
╰─ 69.79.102.47    64126   0.637                         (None, None, US, NA) *                                                                                                   
   80.239.192.45   1299    27.035                    (Miami, Florida, US, NA) dominicancable-ic-375823.ip.twelve99-cust.net                                                       
   206.41.108.11   19151   22.115                        (None, None, US, NA) fl-ix-c01.bboi.net                                                                                  
   66.216.2.12     19151   27.518                         (Tampa, FL, US, NA) *                                                                                                   
   66.216.50.42    19151   28.377                    (Tampa, Florida, US, NA)                                                                                                     
   199.47.174.227  12110   27.375                    (Tampa, Florida, US, NA) atlas-anchor.tampa.coop                                                                             
