   37.10.40.14     202196  0.0                 (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   37.10.40.9      202196  0.354            (Tai Yuen Estate, Tai Po, HK, AS)                                                                                                     
   210.176.141.185 4637    1.571            (Tai Yuen Estate, Tai Po, HK, AS) unknown.telstraglobal.net                                                                           
╭─ 202.84.153.37   4637    1.605         (Sham Shui Po, Sham Shui Po, HK, AS)                                                                                                     
S (4637)  asia-america-gateway-aag-cable-system 👍
╰─ 202.84.140.2    4637    154.156             (San Jose, California, US, NA) i-10852.eqnx-core02.telstraglobal.net                                                               
   202.84.143.210  4637    155.64              (San Jose, California, US, NA) i-0-0-0-1.paix-core02.telstraglobal.net                                                             
   202.84.143.210  4637    155.64              (San Jose, California, US, NA) i-0-0-0-1.paix-core02.telstraglobal.net                                                             
   202.84.247.41   4637    154.615             (San Jose, California, US, NA) i-92.paix02.telstraglobal.net                                                                       
   198.32.176.3    1280    153.997                       (None, None, US, NA) paix.r1.pao1.isc.org                                                                                
   192.158.252.10  1280    154.189        (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
