   37.10.126.72    199610  0.0              (Los Angeles, California, US, NA)                                                                                                     
   37.10.126.65    199610  1.091            (Los Angeles, California, US, NA)                                                                                                     
   206.72.210.251  7713    1.863                  (Los Angeles, CA, US, None) telekomunikasi-indonesia.as7713.any2ix.coresite.com                                                 
   180.240.192.10  7713    139.344                     (New York, NY, US, NA) *                                                                                                   
╭─ 180.240.192.34  7713    138.738                     (New York, NY, US, NA) *                                                                                                   
S (7713)  
╰─ 36.64.254.21    7713    162.112       (Gubengairlangga, East Java, ID, AS)                                                                                                     
   36.64.254.22    7713    162.021                   (Denpasar, Bali, ID, AS)                                                                                                     
   103.215.228.2   140443  161.991              (Surabaya, East Java, ID, AS) 2.228.215.103.in-addr.herza.id                                                                      
   103.215.229.229 140443  162.193              (Surabaya, East Java, ID, AS) 229.229.215.103.in-addr.herza.id                                                                    
