   162.255.145.7   40809   0.0              (New York City, New York, US, NA)                                                                                                     
   162.255.145.4   40809   0.234               (Secaucus, New Jersey, US, NA)                                                                                                     
   129.250.203.93  2914    1.811            (Jersey City, New Jersey, US, NA) xe-3-5-0-1.a03.nycmny17.us.bb.gin.ntt.net                                                           
   129.250.3.50    2914    2.183                         (None, None, US, NA) ae-13.sayonara-dorian.r21.nwrknj03.us.bb.gin.ntt.net                                                
   129.250.6.146   2914    73.132                        (None, None, US, NA) ae-9.r20.londen12.uk.bb.gin.ntt.net                                                                 
╭─ 129.250.3.213   2914    69.895                        (None, None, US, NA) ae-0.a02.londen12.uk.bb.gin.ntt.net                                                                 
S (2914)  
╰─ 157.238.226.5   2914    72.0                     (Poplar, England, GB, EU) ae-0.marbis.londen12.uk.bb.gin.ntt.net                                                              
   46.251.228.200  199610  71.612                        (None, None, GB, EU) *                                                                                                   
   5.62.127.14     199610  73.979                   (London, England, GB, EU)                                                                                                     
