   37.143.141.141  196745  0.0                       (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   193.251.248.53  5511    5.159                    (London, England, GB, EU)                                                                                                     
╭─ 4.68.73.153     3356    4.612                       (London, None, GB, EU) lag-19.ear1.London1.Level3.net                                                                      
S&T (3356)  tata-tgn-western-europe ✓
╰─ 171.75.8.87     3356    27.885                    (Madrid, Madrid, ES, EU) ae1.3102.edge1.mad1.neo.colt.net                                                                    
   213.242.114.122 3356    27.138                    (Madrid, Madrid, ES, EU) serveisweb.bar2.barcelona1.level3.net                                                               
   130.206.245.25  766     27.493                        (None, None, ES, EU) ciemat.rt2.ethtrunk1.telmad.rt1.mad.red.rediris.es                                                  
   130.206.216.2   766     27.565                        (None, None, ES, EU) redimadrid-backup-router.red.rediris.es                                                             
   193.145.15.50   766     28.119                        (None, None, ES, EU) uc3m-rt-ju-01-xe-0-1-0.net.redimadrid.es                                                            
   ***             *       -inf                                           *** *                                                                                                   
   163.117.49.4    766     28.442                        (Madrid, MD, ES, EU) b01014zr.uc3m.es                                                                                    
   163.117.253.5   766     28.596                    (Madrid, Madrid, ES, EU)                                                                                                     
