   196.49.15.189   328998  0.0              (Kampala, Central Region, UG, AF)                                                                                                     
   196.49.15.253   328998  0.156            (Kampala, Central Region, UG, AF)                                                                                                     
   41.191.77.205   37063   0.598 (5.569)       (Kampala, Central Region, UG, AF)                                                                                                     
   129.205.30.77   37063   1.04                          (Kampala, C, UG, AF) *                                                                                                   
╭─ 212.88.110.33   20294   1.838            (Kampala, Central Region, UG, AF)                                                                                                     
LHL (20294, 16637)  eastern-africa-submarine-system-eassy ✓ || seacomtata-tgn-eurasia ✘
╰─ 105.177.9.72    16637   67.389           (Cape Town, Western Cape, ZA, AF)                                                                                                     
   196.60.9.23     37153   67.547                 (Johannesburg, 6, ZA, None) 196-60-9-23.ixp.joburg                                                                              
   197.189.193.1   37153   71.174                       (Sandton, GP, ZA, AF) core-access-switch1.jnb1.host-h.net                                                                 
   197.189.194.147 37153   67.716             (Johannesburg, Gauteng, ZA, AF) atlas-anchor-jnb1.jnb.net.host-h.net                                                                
