   5.158.64.189    199181  0.0                (Battipaglia, Campania, IT, EU)                                                                                                     
   5.158.64.129    199181  0.331            (Torre dei Rai, Campania, IT, EU)                                                                                                     
   5.158.64.237    199181  0.396            (Torre dei Rai, Campania, IT, EU)                                                                                                     
   77.39.128.5     199181  0.405            (Torre dei Rai, Campania, IT, EU)                                                                                                     
   193.201.28.13   *       5.881                        (Rome, Lazio, IT, EU) irideos.rom.namex.it                                                                                
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   62.196.8.238    5602    13.104                (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    13.213                          (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    13.038                          (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.142    5602    13.802                          (Rome, 62, IT, EU) cs2-xe-1-1-0-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    13.2                     (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
