   103.179.37.157  151332  0.0                  (Melbourne, Victoria, AU, OC)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   172.30.224.69   *       11.509                                         ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   100.100.200.1   *       11.649                                         ***                                                                                                     
   10.74.2.189     *       12.265                                         ***                                                                                                     
   10.74.1.226     *       11.513                                         ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   45.76.126.106   20473   12.01            (Sydney, New South Wales, AU, OC) 45.76.126.106.vultrusercontent.com                                                                  
