   203.41.0.254    1221    0.0             (Perth, Western Australia, AU, OC) atlas-per.telstra.net                                                                               
   203.41.0.253    1221    0.46            (Perth, Western Australia, AU, OC)                                                                                                     
   138.217.126.78  1221    0.469           (Perth, Western Australia, AU, OC) tel4198820.lnk.telstra.net                                                                          
   138.217.126.77  1221    1.223           (Perth, Western Australia, AU, OC) bundle-ether801-219.pie-edge903.perth.telstra.net                                                   
   203.50.6.176    1221    2.044                          (Perth, WA, AU, OC) bundle-ether11.pie-core10.perth.telstra.net                                                         
   203.50.6.234    1221    29.605                      (Adelaide, SA, AU, OC) bundle-ether3.way-core10.adelaide.telstra.net                                                       
   203.50.6.231    1221    40.909                    (Melbourne, VIC, AU, OC) bundle-ether16.exi-core10.melbourne.telstra.net                                                     
   203.50.13.124   1221    41.159               (Melbourne, Victoria, AU, OC) bundle-ether2.cla-core30.melbourne.telstra.net                                                      
   203.50.13.132   1221    51.789           (Sydney, New South Wales, AU, OC) bundle-ether3.hay-core30.sydney.telstra.net                                                         
   203.50.11.173   1221    52.864                       (Sydney, NSW, AU, OC) bundle-ether1.ken-edge903.sydney.telstra.net                                                        
╭─ 203.54.217.110  3356    52.121                     (Mulgrave, VIC, AU, OC) cen3361629.lnk.telstra.net                                                                          
S (3356)  australia-singapore-cable-asc ©
╰─ 4.69.206.178    3356    95.794                   (Singapore, None, SG, AS) ae2.3605.edge3.Singapore3.level3.net                                                                
   5.199.164.2     216444  95.934              (Singapore, Singapore, SG, AS)                                                                                                     
   5.199.167.27    216444  96.441              (Singapore, Singapore, SG, AS)                                                                                                     
