   192.158.252.10  1280    0.0            (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
   192.158.252.3   1280    0.469              (Palo Alto, California, US, NA) r2.pao2-guests.isc.org                                                                              
   149.20.7.29     1280    0.47               (Palo Alto, California, US, NA) r2.r1.pao2.isc.org                                                                                  
   62.115.46.190   1299    1.05               (Palo Alto, California, US, NA) palo-b24-link.ip.twelve99.net                                                                       
   62.115.114.107  1299    4.444             (Sacramento, California, US, NA) sac-b1-link.ip.twelve99.net                                                                         
   62.115.189.207  1299    4.646               (San Jose, California, US, NA) qualitytech-ic-355150.ip.twelve99-cust.net                                                          
   173.225.174.9   17018   3.999          (San Francisco, California, US, NA)                                                                                                     
   65.74.145.157   53698   3.865                         (None, None, US, NA) *                                                                                                   
   23.174.128.243  53698   3.995             (Sacramento, California, US, NA) us-sac-as53698.anchors.atlas.ripe.net                                                               
