   197.80.104.36   10474   0.0                (Johannesburg, Gauteng, ZA, AF) 197-80-104-36.jhb.mweb.co.za                                                                        
   197.80.75.3     10474   22.758                 (Randburg, Gauteng, ZA, AF) 20.bu-ether1.vic-pe-12.optinet.net                                                                  
   197.80.7.66     10474   72.411                        (None, None, ZA, AF) 197-80-7-66.jhb.mweb.co.za                                                                          
   197.80.7.65     10474   118.349                       (None, None, ZA, AF) te0-0-0-3.vic-p-1.optinet.net                                                                       
   197.80.10.59    10474   126.633          (Cape Town, Western Cape, ZA, AF) 197-80-10-59.jhb.mweb.co.za                                                                         
   197.84.7.30     10474   156.021            (Johannesburg, Gauteng, ZA, AF) 197-84-7-30.cpt.mweb.co.za                                                                          
   196.10.140.21   37153   310.887                  (Cape Town, 11, ZA, None) *                                                                                                   
   196.40.102.70   37153   458.051                       (None, None, ZA, AF) core-access-switch1-vlan1001.cpt.host-h.net                                                         
   196.40.111.147  37153   714.858          (Cape Town, Western Cape, ZA, AF) atlas-anchor-cpt3.cpt.net.host-h.net                                                                
