   45.135.151.45   208751  0.0                 (Zuidbroek, Groningen, NL, EU) ripeatlasanchor.dmz.as208751.net                                                                    
   45.135.151.33   208751  0.461               (Zuidbroek, Groningen, NL, EU) tungw.masterwayz.nl                                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   5.178.113.226   59554   2.079               (Zuidbroek, Groningen, NL, EU)                                                                                                     
   217.170.23.9    24785   5.096           (Amsterdam, North Holland, NL, EU) ordina.nikhef.jointtransit.nl                                                                       
╭─ 82.150.153.89   20562   5.315                         (None, None, NL, EU) jointtransit.nikhef.openpeering.nl                                                                  
S&T (20562, 34087)  
╰─ 80.249.213.73   34087   5.957                         (Namsos, 50, NO, EU) *                                                                                                   
   89.151.255.32   34087   43.702                        (Namsos, 50, NO, EU) 89.151.255.32.nteb.no                                                                               
   178.164.9.142   47753   43.283                     (Trondheim, 50, NO, EU) 178.164.9.142.3p.ntebredband.no                                                                     
   217.168.87.54   34087   37.107              (Trondheim, Trøndelag, NO, EU)                                                                                                     
