   23.174.128.243  53698   0.0               (Sacramento, California, US, NA) us-sac-as53698.anchors.atlas.ripe.net                                                               
   23.174.128.17   53698   0.429             (Sacramento, California, US, NA) vlan3-gateway.qts.smf.nix-ops.net                                                                   
   65.74.145.156   17018   0.656             (Sacramento, California, US, NA)                                                                                                     
   173.225.174.26  17018   1.387             (Sacramento, California, US, NA)                                                                                                     
   173.225.174.12  17018   1.257             (Sacramento, California, US, NA)                                                                                                     
   62.115.189.206  1299    1.113             (Sacramento, California, US, NA) sac-b1-link.ip.twelve99.net                                                                         
   62.115.114.106  1299    3.912            (Santa Clara, California, US, NA) palo-b24-link.ip.twelve99.net                                                                       
   62.115.46.191   1299    3.658               (San Jose, California, US, NA) isc-ic-380208.ip.twelve99-cust.net                                                                  
   192.158.252.10  1280    3.843          (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
