   103.156.251.7   141235  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   103.156.251.3   141235  0.433               (Singapore, Singapore, SG, AS)                                                                                                     
   62.115.55.208   1299    1.12                (Singapore, Singapore, SG, AS) snge-b5-link.ip.twelve99.net                                                                        
╭─ 62.115.45.245   1299    1.188               (Singapore, Singapore, SG, AS) jalalintas-ic-373539.ip.twelve99-cust.net                                                           
S&T (1299, 55685)  indigo-west ✓ || indonesia-global-gateway-igg-system © || jakarta-bangka-bintan-batam-singapore-b3js ✘ || b2js-jakarta-bangka-batam-singapore-cable-system ✘ || matrix-cable-system ✘ || jasuka ©
╰─ 103.80.90.70    55685   12.598                  (Jakarta, Jakarta, ID, AS)                                                                                                     
   121.100.0.45    38158   12.331                  (Jakarta, Jakarta, ID, AS)                                                                                                     
   43.230.152.246  *       11.846                  (Jakarta, Jakarta, ID, AS) local-in.kings.id                                                                                   
   43.230.153.90   *       12.332                  (Jakarta, Jakarta, ID, AS)                                                                                                     
   180.211.88.22   45725   12.539                  (Jakarta, Jakarta, ID, AS) id-jkt-as45725.anchors.atlas.ripe.net                                                               
