   41.221.208.94   3491    0.0                (Johannesburg, Gauteng, ZA, AF) 41-221-208-94.static.pccwglobal.net                                                                 
   41.221.208.93   3491    1.037              (Johannesburg, Gauteng, ZA, AF) 41-221-208-93.static.pccwglobal.net                                                                 
   196.33.119.97   3741    17.465                       (Breyten, MP, ZA, AF) mi-za-bry-pe6-gi2-0-3012.ip.isnet.net                                                               
   168.209.88.128  3741    17.529                        (None, None, ZA, AF) mi-za-pkl-br7-be-302.ip.ddii.network                                                                
   168.209.88.129  3741    17.302                        (None, None, ZA, AF) mi-za-pkl-p7-hun-0-0-0-1sub302.ip.ddii.network                                                      
   196.26.0.10     3741    16.863                        (None, None, ZA, AF) pr1-pkl-ae0.ip.ddii.network                                                                         
   196.60.96.32    *       17.215             (Johannesburg, Gauteng, ZA, AF) optinet-2.jinx.net.za                                                                               
   197.80.7.77     10474   18.001                        (None, None, ZA, AF) 201.te0-0-2-3.vic-pe-13.optinet.net                                                                 
   197.80.104.36   10474   17.2               (Johannesburg, Gauteng, ZA, AF) 197-80-104-36.jhb.mweb.co.za                                                                        
