   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.139            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.31             (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.782            (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    1.158                        (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   ***             *       -inf                                           *** *                                                                                                   
   203.50.13.86    1221    1.552            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.50.13.86    1221    1.552            (Sydney, New South Wales, AU, OC)                                                                                                     
   202.84.222.134  4637    146.827          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
╭─ 202.84.222.134  4637    146.827          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
S (4637)  
╰─ 202.84.141.25   4637    145.896             (San Jose, California, US, NA) i-20802.eqnx-core02.telstraglobal.net                                                               
   202.84.247.17   4637    145.443             (San Jose, California, US, NA) i-92.eqnx03.telstraglobal.net                                                                       
   134.159.61.14   4637    145.612             (San Jose, California, US, NA) he-peer.eqnx03.pr.telstraglobal.net                                                                 
   184.105.65.113  6939    145.733                     (San Jose, CA, US, NA) 100ge13-2.core1.sjc1.he.net                                                                         
   64.71.166.231   6939    145.758             (San Jose, California, US, NA) macarne-llc.e0-1.switch1.snt3.he.net                                                                
   ***             *       -inf                                           *** *                                                                                                   
   23.155.72.145   64289   145.877          (Santa Clara, California, US, NA)                                                                                                     
