   77.223.128.226  43391   0.0                (İzmir, İzmir Province, TR, AS)                                                                                                     
   10.200.0.1      *       0.419                                          ***                                                                                                     
   10.20.0.250     *       0.902                                          ***                                                                                                     
   10.34.35.10     *       15.141                                         ***                                                                                                     
╭─ 93.186.132.194  6762    11.811                (Istanbul, Istanbul, TR, AS) xe11-2-0.istanbul1.ist.seabone.net                                                                  
LHL (6762)  
╰─ 195.22.211.33   6762    49.858             (Frankfurt am Main, HE, DE, EU) ae12.francoforte34.fra.seabone.net                                                                  
   62.157.250.37   3320    50.95                     (Ottersberg, NI, DE, EU) *                                                                                                   
   217.5.67.158    3320    52.539                        (None, None, DE, EU) f-ed12-i.F.DE.NET.DTAG.DE                                                                           
   87.186.182.106  15817   47.791                        (None, None, DE, EU) *                                                                                                   
   178.16.60.129   15817   54.595                        (None, None, DE, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
