   200.160.6.19    22548   0.0                 (São Paulo, São Paulo, BR, SA) br-sao-as22548.anchors.atlas.ripe.net                                                               
   200.160.6.61    22548   0.456         (Taboão da Serra, São Paulo, BR, SA) ae1-89.ar3.jd.registro.br                                                                           
   200.160.0.253   22548   0.598                         (None, None, BR, SA) ae0-0.core1.nu.registro.br                                                                          
   200.160.0.159   22548   0.669                         (None, None, BR, SA) xe-4-0-0-61.gw2.jd.registro.br                                                                      
   187.16.208.67   *       1.576               (São Paulo, São Paulo, BR, SA) as6057.saopaulo.sp.ix.br                                                                            
   179.31.62.139   6057    24.106              (São Paulo, São Paulo, BR, SA) brsp21.gru-ae1003.antel.net.uy                                                                      
╭─ 179.31.62.154   6057    24.252              (São Paulo, São Paulo, BR, SA) crsan1.gru-ae1005.antel.net.uy                                                                      
S (6057)  
╰─ 179.31.62.38    6057    24.243                        (None, None, UY, SA) ibe2mlg1-be5.antel.net.uy                                                                           
   200.7.84.24     28000   28.44     (Montevideo, Montevideo Department, UY, SA) uy-mvd-as28000.anchors.atlas.ripe.net                                                               
