   37.252.253.18   42473   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   37.252.253.17   42473   0.307                    (Palermo, Sicily, IT, EU) cr-01.0v-04-28.anx35.pmo.it.anexia-it.com                                                           
   37.235.5.33     42473   0.334                    (Palermo, Sicily, IT, EU)                                                                                                     
╭─ 185.1.46.4      *       0.453                    (Palermo, Sicily, IT, EU) seabone-decix-palermo-v6.seabone.net                                                                
S&T (, 6762)  seamewe-4 ✘ || asia-africa-europe-1-aae-1 ✘ || seamewe-5 ✘ || imewe ✘
╰─ 195.22.210.222  6762    33.363                        (Paris, IDF, FR, EU) ae23.parigi52.par.seabone.net                                                                       
   195.22.210.222  6762    33.363                        (Paris, IDF, FR, EU) ae23.parigi52.par.seabone.net                                                                       
   213.144.183.25  6762    34.035              (Paris, Île-de-France, FR, EU) abaclouda.parigi52.par.seabone.net                                                                  
   5.180.58.66     56987   47.646        (Lyon, Auvergne-Rhône-Alpes, FR, EU) 01-xe.lns01.lyn.abaclouda.net                                                                       
   5.180.57.81     56987   47.673        (Lyon, Auvergne-Rhône-Alpes, FR, EU) fr-lio-as56987.anchors.atlas.ripe.net                                                               
