   190.124.192.162 28109   0.0           (Bahía Blanca, Buenos Aires, AR, SA) anchorr.criba.edu.ar                                                                                
   190.124.192.129 28109   0.613         (Bahía Blanca, Buenos Aires, AR, SA) gatevm.criba.edu.ar                                                                                 
   190.124.210.20  28109   0.761         (Bahía Blanca, Buenos Aires, AR, SA)                                                                                                     
   190.124.210.6   28109   0.828         (Bahía Blanca, Buenos Aires, AR, SA) rtmetro6.criba.edu.ar                                                                               
   ***             *       -inf                                           *** *                                                                                                   
   8.243.19.6      3356    7.901     (Buenos Aires, Buenos Aires F.D., AR, SA) 8-243-19-6.gblx.net.ar                                                                              
╭─ 8.243.19.5      3356    9.908     (Buenos Aires, Buenos Aires F.D., AR, SA) 8-243-19-5.gblx.net.ar                                                                              
S (3356)  south-america-1-sam-1 ✓
╰─ 4.69.150.161    3356    145.379                      (Atlanta, GA, US, NA) ae2.3613.edge1.Atlanta4.level3.net                                                                  
   4.53.237.202    3356    155.44                       (Atlanta, GA, US, NA) CHOOPA-LLC.edge1.Atlanta4.Level3.net                                                                
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   144.202.18.114  20473   155.453                 (Atlanta, Georgia, US, NA) 144.202.18.114.vultrusercontent.com                                                                 
