   74.119.118.17   19750   0.0                        (Dallas, Texas, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   100.66.0.44     *       0.5                                            ***                                                                                                     
   100.66.0.47     *       0.473                                          ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   107.162.217.5   55002   41.864              (San Jose, California, US, NA)                                                                                                     
