   84.88.18.254    13041   0.0                 (Barcelona, Catalonia, ES, EU) anchor-anella.cesca.cat                                                                             
   84.88.18.253    13041   1.007               (Barcelona, Catalonia, ES, EU) anella-anchor.cesca.cat                                                                             
   130.206.214.97  766     9.452                     (Madrid, Madrid, ES, EU) anella-ppal-as13041.ethtrunk11-81.telmad.rt3.mad.red.rediris.es                                     
   130.206.245.1   766     10.131                        (None, None, ES, EU) telmad.rt4.ethtrunk9.ciemat.rt2.mad.red.rediris.es                                                  
╭─ 213.242.114.121 3356    10.881                    (Madrid, Madrid, ES, EU) ae6-104.bar2.barcelona1.level3.net                                                                  
S&T (3356)  flag-europe-asia-fea © || seamewe-3 ✓
╰─ 171.75.9.51     3356    31.517                   (Milan, Lombardy, IT, EU) ae1.3101.edge1.mln2.neo.colt.net                                                                    
   213.249.105.26  41327   42.917                       (Milan, None, IT, EU) FIBER-TELEC.bear1.Milan2.Level3.net                                                                 
   185.157.228.37  41327   64.286                       (Rome, Lazio, IT, EU) 37-228-157-185.fibertelecom.it                                                                      
   185.157.231.49  41327   66.3                     (Palermo, Sicily, IT, EU) 49-231-157-185.fibertelecom.it                                                                      
