   85.233.1.54     29505   0.0           (Lübeck, Schleswig-Holstein, DE, EU) de-lbc-as29505.anchors.atlas.ripe.net                                                               
   85.233.1.50     29505   0.449         (Lübeck, Schleswig-Holstein, DE, EU) svi9.rt-core-lbc-nls-01.net.glasfaser.swhl.de                                                       
   85.233.1.1      29505   0.44          (Lübeck, Schleswig-Holstein, DE, EU) et-0-0-0-0.rt-edge-lbc-nls-01.net.glasfaser.swhl.de                                                 
   193.42.155.11   *       2.053                   (Hamburg, Hamburg, DE, EU) ecix.v310.b9033.graf-zahl.ipv4.wtnet.de                                                             
   84.46.112.61    15943   2.438                    (Norderstedt, SH, DE, EU) b379.Bert.ipv4.wtnet.de                                                                             
   84.46.112.57    15943   2.699                    (Norderstedt, SH, DE, EU) b101.Ernie.ipv4.wtnet.de                                                                            
   84.46.114.33    15943   3.159                   (Hamburg, Hamburg, DE, EU) b99.hbko-asr-gk.ipv4.wtnet.de                                                                       
   84.46.110.247   200567  1.975                        (Hamburg, HH, DE, EU) vl_mdex_gmbh.asr-buchenweg-gk.ipv4.wtnet.de                                                         
   185.39.176.26   200567  4.401                         (None, None, DE, EU) br-bb-vt2-bond0-vl994.mdex.ag                                                                       
   185.70.144.118  200567  3.695                   (Hamburg, Hamburg, DE, EU)                                                                                                     
