   45.87.76.6      208725  0.0           (Brussels, Brussels Capital, BE, EU) ansible.devrandom.be                                                                                
   45.87.79.251    208725  0.237         (Brussels, Brussels Capital, BE, EU) router01.sw1.core.devrandom.be                                                                      
   45.87.79.249    208725  0.171         (Brussels, Brussels Capital, BE, EU) router03.core.devrandom.be                                                                          
   109.68.160.66   39923   0.276         (Brussels, Brussels Capital, BE, EU) xe-10-2-1.br20.zav.as39923.net                                                                      
   109.68.160.36   39923   0.319                      (Zaventem, VLG, BE, EU) xe-0-1-0.br10.zav.as39923.net                                                                       
╭─ 194.53.172.71   *       0.385                 (Nossegem, Flanders, BE, EU) retn.bnix.net                                                                                       
S&T (, 9002)  pan-european-crossing-uk-belgium ✘ || tangerine ✘ || seamewe-3 ✘ || concerto ✘
╰─ 87.245.234.99   9002    8.828                        (London, ENG, GB, EU) ae3-9.RT.TH2.LON.UK.retn.net                                                                        
   87.245.240.39   9002    8.593                    (Poplar, England, GB, EU) gw-as64289.retn.net                                                                                 
   185.225.24.25   64289   8.633                    (London, England, GB, EU)                                                                                                     
