   90.223.193.1    5607    0.0                      (Poplar, England, GB, EU) uk-lon-as5607.anchors.atlas.ripe.net                                                                
   90.223.193.0    5607    0.761                    (Poplar, England, GB, EU) te-0-10-0-27-3.er12.thlon.isp.sky.com                                                               
   2.120.11.156    5607    10.488                   (London, England, GB, EU) 02780b9c.bb.sky.com                                                                                 
╭─ 195.50.116.125  3356    9.286                    (London, England, GB, EU) lag-115.ear2.london2.level3.net                                                                     
S&T (3356)  tampnet-offshore-foc-network ✘
╰─ 171.75.9.43     3356    32.807                        (Oslo, Oslo, NO, EU) ae1.11.edge1.osl2.neo.colt.net                                                                      
   62.67.73.110    3356    37.244                        (Oslo, Oslo, NO, EU) nte-marked.edge1.oslo2.level3.net                                                                   
   89.151.255.32   34087   39.654                        (Namsos, 50, NO, EU) 89.151.255.32.nteb.no                                                                               
   178.164.9.142   47753   41.373                     (Trondheim, 50, NO, EU) 178.164.9.142.3p.ntebredband.no                                                                     
   217.168.87.54   34087   42.339              (Trondheim, Trøndelag, NO, EU)                                                                                                     
