   213.184.86.101  59795   0.0           (Copenhagen, Capital Region, DK, EU) dk-cph-as59795.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   185.212.169.49  9009    0.842             (Herlev, Capital Region, DK, EU) vlan108.as04.cph1.dk.m247.ro                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   37.120.220.144  *       1.358         (Copenhagen, Capital Region, DK, EU) be-1-3101.bb1n.cph1.dk.m247.ro                                                                      
   213.248.89.118  1299    1.86          (Copenhagen, Capital Region, DK, EU) kbn-b4-link.ip.twelve99.net                                                                         
   62.115.136.230  1299    1.77          (Copenhagen, Capital Region, DK, EU) kbn-bb6-link.ip.twelve99.net                                                                        
   62.115.138.113  1299    2.343         (Copenhagen, Capital Region, DK, EU) kbn-b1-link.ip.twelve99.net                                                                         
╭─ 62.115.171.213  1299    21.315        (Copenhagen, Capital Region, DK, EU) tele2-ic-342355.ip.twelve99-cust.net                                                                
S&T (1299, 1257)  
╰─ 91.129.14.71    1257    10.969                      (Malmö, Skåne, SE, EU) lim-core-2.bundle-ether13.tele2.net                                                                 
   91.129.12.40    1257    11.294                        (None, None, SE, EU) jkg300-core-1.bundle-ether1.tele2.net                                                               
   91.129.13.109   1257    10.948              (Stockholm, Stockholm, SE, EU) jkg300-cagg-1.bundle-ether1.tele2.net                                                               
   91.129.13.103   1257    11.332              (Stockholm, Stockholm, SE, EU) lkg462-agg-1.bundle-ether2.tele2.net                                                                
   91.129.19.61    1257    10.873              (Stockholm, Stockholm, SE, EU) lkg462-sn-1.eth-trunk2.tele2.net                                                                    
   81.216.114.69   1257    11.273                        (None, None, SE, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   192.36.132.253  1257    10.549           (Linköping, Östergötland, SE, EU)                                                                                                     
   31.15.54.138    1257    11.147           (Linköping, Östergötland, SE, EU)                                                                                                     
