   199.47.174.227  12110   0.0                       (Tampa, Florida, US, NA) atlas-anchor.tampa.coop                                                                             
   199.47.174.225  12110   1.261                     (Tampa, Florida, US, NA) vlan-200.coop-stack.tampa.coop                                                                      
   66.216.50.41    19151   1.222                     (Tampa, Florida, US, NA)                                                                                                     
   66.216.2.135    19151   1.172                          (Tampa, FL, US, NA) be2.cr02.655.tpa.bboi.net                                                                           
   38.140.225.145  174     1.369                     (Tampa, Florida, US, NA) te0-3-1-9.nr51.b005666-1.tpa01.atlas.cogentco.com                                                   
   154.24.67.154   174     0.976                     (Tampa, Florida, US, NA) be2284.rcr21.tpa01.atlas.cogentco.com                                                               
   154.54.5.81     174     7.132                          (Miami, FL, US, NA) be2261.ccr21.mia01.atlas.cogentco.com                                                               
   154.54.88.226   174     7.272                     (Miami, Florida, US, NA) be3081.ccr41.mia03.atlas.cogentco.com                                                               
╭─ 154.54.10.58    3356    22.632                         (Miami, FL, US, NA) level3.mia03.atlas.cogentco.com                                                                     
S (3356, 3549)  brusa ✓ || america-movil-submarine-cable-system-1-amx-1 © || monet © || south-america-1-sam-1 ✓ || globenet © || americas-ii 👍 || seabras-1 ✓
╰─ 200.189.212.186 3549    127.237                (Osasco, São Paulo, BR, SA) ae7.3502.ebr1.sap1.ciriontechnologies.net                                                           
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   5.188.238.222   202422  127.658             (São Paulo, São Paulo, BR, SA)                                                                                                     
