   206.162.189.131 852     0.0                     (Montréal, Quebec, CA, NA) pcisrv.consultik.qc.ca                                                                              
   206.162.189.130 852     0.415                   (Montréal, Quebec, CA, NA) bureautique.consultik.com                                                                           
   154.11.6.200    852     0.493                   (Montréal, Quebec, CA, NA)                                                                                                     
   208.184.12.130  6461    0.614                   (Montréal, Quebec, CA, NA) zayo.ae20.mpr2.yul2.ca.zip.zayo.com                                                                 
   64.125.23.70    6461    8.127                        (Toronto, ON, CA, NA) ae4.mpr1.tor3.ca.zip.zayo.com                                                                       
   64.125.23.119   6461    7.984                        (Toronto, ON, CA, NA) ae5.mpr1.yyz1.ca.zip.zayo.com                                                                       
   170.39.230.248  835     7.727                   (Toronto, Ontario, CA, NA) c1.yyz2.as835.net                                                                                   
   23.130.139.252  52210   21.014                   (Ottawa, Ontario, CA, NA) yow-cr2.accuris.ca                                                                                  
   23.130.139.254  52210   21.331                   (Kanata, Ontario, CA, NA) yow-sw1.accuris.ca                                                                                  
   23.130.139.89   52210   21.291                   (Kanata, Ontario, CA, NA) 89-139-130-23.static.accuris.ca                                                                     
