   185.157.231.49  41327   0.0                      (Palermo, Sicily, IT, EU) 49-231-157-185.fibertelecom.it                                                                      
   185.157.231.48  41327   0.286                    (Palermo, Sicily, IT, EU) 48-231-157-185.fibertelecom.it                                                                      
   195.22.198.152  6762    0.332                    (Palermo, Sicily, IT, EU) ae8-100.palermo3.pal.seabone.net                                                                    
   195.22.192.111  6762    21.912                         (Milan, 25, IT, EU) ae1.milano81.mil.seabone.net                                                                        
   195.22.192.111  6762    21.912                         (Milan, 25, IT, EU) ae1.milano81.mil.seabone.net                                                                        
   195.22.196.121  201333  21.786                         (Milan, 25, IT, EU) naquadria.milano81.mil.seabone.net                                                                  
   185.78.48.22    201333  22.841                   (Milan, Lombardy, IT, EU) ens1f4-920-r02.pia1.naquadria.net                                                                   
   185.78.48.244   201333  22.94                      (Parabiago, 25, IT, EU) lf01b5-vlan910.pia1.naquadria.net                                                                   
   185.78.49.100   201333  22.948          (Piacenza, Emilia-Romagna, IT, EU) it-pcz-as201333.anchors.atlas.ripe.net                                                              
