   23.152.192.245  53698   0.0                   (Richmond, Virginia, US, NA) us-rcd-as53698-client.anchors.atlas.ripe.net                                                        
   23.152.192.9    53698   0.395                 (Richmond, Virginia, US, NA) gateway98.qts.ric.nix-ops.net                                                                       
   209.10.80.168   53907   0.644                 (Sandston, Virginia, US, NA)                                                                                                     
   209.10.65.62    53907   1.085                 (Scotland, Virginia, US, NA)                                                                                                     
   62.115.161.82   1299    0.757                 (Richmond, Virginia, US, NA) rich-b1-link.ip.twelve99.net                                                                        
   62.115.126.70   1299    0.777 (4.338)             (Ashburn, Virginia, US, NA) rest-bb1-link.ip.twelve99.net                                                                       
   62.115.141.245  1299    11.294           (New York City, New York, US, NA) nyk-bb1-link.ip.twelve99.net                                                                        
   62.115.135.131  1299    10.804           (New York City, New York, US, NA) nyk-b1-link.ip.twelve99.net                                                                         
   62.115.147.199  1299    24.626           (New York City, New York, US, NA) edgio-ic-317659.ip.twelve99-cust.net                                                                
   152.195.68.35   15133   10.689           (New York City, New York, US, NA)                                                                                                     
