   217.28.166.213  3292    0.0               (Århus, Central Jutland, DK, EU)                                                                                                     
   217.28.166.211  3292    54.388        (Tranbjerg, Central Jutland, DK, EU)                                                                                                     
   62.242.1.165    3292    0.546         (Tranbjerg, Central Jutland, DK, EU) ge-3-3-3-114.trgnqe10.dk.ip.tdc.net                                                                 
   83.88.19.119    3292    7.2                           (None, None, DK, EU) ae1-0.alb2nqp8.dk.ip.tdc.net                                                                        
╭─ 195.215.109.102 3292    5.94            (Hvidovre, Capital Region, DK, EU) peer-as3257.alb2nqp8.dk.ip.tdc.net                                                                  
S (3292, 3257)  
╰─ 141.136.107.133 3257    30.715                         (Dublin, D, IE, EU) et-7-1-0.cr0-dub4.ip4.gtt.net                                                                       
   212.222.58.254  3257    30.954                  (Dublin, Leinster, IE, EU) ip4.gtt.net                                                                                         
   87.44.56.178    1213    31.617                           (Cork, M, IE, EU) po2.pw-spine1.nn.hea.net                                                                            
   193.1.201.140   1213    31.894                (Tallaght, Leinster, IE, EU) atlas-anchor.heanet.ie                                                                              
