   37.10.40.14     202196  0.0                 (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   37.10.40.9      202196  0.408            (Tai Yuen Estate, Tai Po, HK, AS)                                                                                                     
   210.176.141.185 4637    1.529            (Tai Yuen Estate, Tai Po, HK, AS) unknown.telstraglobal.net                                                                           
   202.84.173.21   4637    2.289     (Hong Kong, Central and Western, HK, AS) i-0-3-0-6.hkck-core01.telstraglobal.net                                                             
   202.84.157.225  4637    2.871     (Hong Kong, Central and Western, HK, AS)                                                                                                     
   210.57.81.245   13335   3.044                         (None, None, HK, AS) unknown.telstraglobal.net                                                                           
   172.71.216.2    13335   3.298               (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   172.71.217.174  13335   2.673               (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   141.101.110.47  13335   2.849               (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   141.101.110.75  13335   2.72                (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
