   89.213.179.65   32167   0.0                 (Hong Kong, Hong Kong, HK, AS) 89-213-179-65.ip.lshiyusercontent.com                                                               
   ***             *       -inf                                           *** *                                                                                                   
   103.203.243.10  955     0.433             (Kadoorie, Kowloon City, HK, AS) port-channe17.switch1.hkg1.bb.lshiy.net                                                             
╭─ 36.255.56.75    4775    0.957                    (Hong Kong, None, HK, AS) 4775.hkg.equinix.com                                                                                
S (4775)  tata-tgn-intra-asia-tgn-ia ✓ || asia-america-gateway-aag-cable-system ✓
╰─ 112.198.1.57    4775    15.295         (Makati City, Metro Manila, PH, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   27.111.84.21    135132  30.671        (Cebu City, Central Visayas, PH, AS) ph-ceb-as135132.anchors.atlas.ripe.net                                                              
