   141.193.21.100  46997   0.0                  (Seattle, Washington, US, NA) us-sea-as46997.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   202.5.31.217    201106  0.439               (Riverton, Washington, US, NA)                                                                                                     
   104.225.97.189  36236   0.812                (Seattle, Washington, US, NA) 189.97.225.104.ptr.anycast.net                                                                      
   129.250.203.81  2914    75.46                (Seattle, Washington, US, NA) xe-2-3-3-1.a03.sttlwa01.us.bb.gin.ntt.net                                                           
   129.250.2.206   2914    75.615                        (None, None, US, NA) ae-3.sayonara-dorian.r25.sttlwa01.us.bb.gin.ntt.net                                                 
   129.250.3.124   2914    93.268                        (None, None, US, NA) ae-3.sayonara-dorian.r25.snjsca04.us.bb.gin.ntt.net                                                 
   ***             *       -inf                                           *** *                                                                                                   
   129.250.4.151   2914    92.273                        (None, None, US, NA) ae-3.sayonara-dorian.r25.lsanca07.us.bb.gin.ntt.net                                                 
   129.250.3.142   2914    94.846                        (None, None, US, NA) ae-10.sayonara-dorian.r04.miamfl02.us.bb.gin.ntt.net                                                
   129.250.207.190 2914    87.901                      (New York, NY, US, NA) xe-0-0-22-0.a00.lsanca07.us.ce.gin.ntt.net                                                          
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   149.248.18.65   20473   87.802           (Los Angeles, California, US, NA) 149.248.18.65.vultrusercontent.com                                                                  
