   194.1.149.210   42409   0.0                       (Tirana, Tirana, AL, EU)                                                                                                     
   194.1.149.238   42409   0.605                     (Tirana, Tirana, AL, EU)                                                                                                     
   194.1.149.249   42409   0.859                     (Tirana, Tirana, AL, EU)                                                                                                     
╭─ 217.24.245.21   42313   2.039                     (Tirana, Tirana, AL, EU)                                                                                                     
S&T (42313, 6762)  italy-albania ✓
╰─ 195.22.192.200  6762    15.969                   (Milan, Lombardy, IT, EU) xe4-1-3-0.milano51.mil.seabone.net                                                                  
   213.144.177.227 6762    23.941                          (Rome, 62, IT, EU) ae6-50.roma1.rom.seabone.net                                                                        
   213.144.177.227 6762    23.941                          (Rome, 62, IT, EU) ae6-50.roma1.rom.seabone.net                                                                        
   89.221.32.157   59715   30.171                          (Rome, 62, IT, EU) citta-san-benedetto-d.roma1.rom.seabone.net                                                         
   185.5.201.10    59715   30.363    (San Benedetto del Tronto, The Marches, IT, EU) p6496.probes.atlas.ripe.net                                                                         
