   114.31.201.91   4826    0.0              (Sydney, New South Wales, AU, OC) 91.201.31.114.core.vocus.network                                                                    
   114.31.201.90   4826    0.6              (Sydney, New South Wales, AU, OC) 90.201.31.114.core.vocus.network                                                                    
╭─ 114.31.192.104  4826    148.668          (Sydney, New South Wales, AU, OC) be157.cor03.syd14.nsw.vocus.network                                                                 
S (4826)  
╰─ 114.31.199.43   4826    152.967                     (San Jose, CA, US, NA) be202.bdr03.sjc01.ca.us.vocus.network                                                               
   173.205.35.1    3257    145.284                       (None, None, US, NA) *                                                                                                   
   89.149.139.222  3257    171.066                      (Seattle, WA, US, NA) ae19.cr5-sea2.ip4.gtt.net                                                                           
   76.74.43.222    13331   167.92                        (None, None, US, NA) ip4.gtt.net                                                                                         
   207.229.73.32   13331   179.454                       (None, None, US, NA) *                                                                                                   
   204.15.11.34    13331   171.133               (SeaTac, Washington, US, NA)                                                                                                     
