   37.252.253.18   42473   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   37.252.253.17   42473   0.352                    (Palermo, Sicily, IT, EU) cr-01.0v-04-28.anx35.pmo.it.anexia-it.com                                                           
   213.144.186.81  6762    0.651                    (Palermo, Sicily, IT, EU)                                                                                                     
   195.22.192.139  33438   19.143                         (Milan, 25, IT, EU) ae0.milano59.mil.seabone.net                                                                        
   195.22.192.139  33438   19.143                         (Milan, 25, IT, EU) ae0.milano59.mil.seabone.net                                                                        
╭─ 195.22.212.223  6762    21.266                   (Milan, Lombardy, IT, EU) level3.milano59.mil.seabone.net                                                                     
S (6762, 3356)  seamewe-5 👍 || seamewe-4 👍 || seamewe-3 👍
╰─ 4.69.206.178    3356    256.165                  (Singapore, None, SG, AS) ae2.3605.edge3.Singapore3.level3.net                                                                
   5.199.164.2     216444  255.891             (Singapore, Singapore, SG, AS)                                                                                                     
   5.199.167.27    216444  267.699             (Singapore, Singapore, SG, AS)                                                                                                     
