   87.195.79.82    12414   0.0                   (Dronten, Flevoland, NL, EU) nl-dro-as12414.anchors.atlas.ripe.net                                                               
   87.195.79.81    12414   0.59                  (Dronten, Flevoland, NL, EU) dsl-087-195-079-081.solcon.nl                                                                       
   212.45.44.189   12414   0.657                 (Dronten, Flevoland, NL, EU) ae23.cr2.dro2.network.solcon.net                                                                    
   212.45.44.157   12414   1.383              (Marken, North Holland, NL, EU) ae11.cr1.ams2.network.solcon.net                                                                    
╭─ 80.249.209.119  13101   1.448                      (Amsterdam, NH, NL, EU) AMS-IX.tng.de                                                                                       
T (13101)  
╰─ 213.178.65.148  13101   8.006                        (Hamburg, HH, DE, EU) ham8.tng.de                                                                                         
   213.178.65.155  13101   9.3             (Kiel, Schleswig-Holstein, DE, EU) kel2.tng.de                                                                                         
   82.97.188.1     13101   9.247                         (None, None, DE, EU) rtr1.gallifrey.tng.de                                                                               
   213.158.113.5   13101   9.483                   (Hamburg, Hamburg, DE, EU) ripe-anchor.gallifrey.tng.de                                                                        
