   196.49.5.98     327844  0.0       (Dar es Salaam, Dar es Salaam Region, TZ, AF)                                                                                                     
   196.49.5.97     327844  0.381     (Dar es Salaam, Dar es Salaam Region, TZ, AF)                                                                                                     
   41.175.46.57    30844   0.381 (3.618)(Dar es Salaam, Dar es Salaam Region, TZ, AF)                                                                                                     
╭─ 41.175.43.72    30844   65.458    (Dar es Salaam, Dar es Salaam Region, TZ, AF) et-0-1-6-ltz-p1-sea.liquidtelecom.net                                                               
S (30844)  
╰─ 197.155.94.18   30844   51.203                  (Johannesburg, GT, ZA, AF) te-0-3-0-14.lza-p4-jhb.liquidtelecom.net                                                            
   5.11.13.172     30844   70.03            (Cape Town, Western Cape, ZA, AF) network.netc-vsat25-rog.liquidtelecom.com                                                           
   196.60.70.232   37662   67.386                   (Cape Town, 11, ZA, None) 196-10-140-232.ixp.capetown                                                                         
   196.250.236.122 37662   68.72            (Cape Town, Western Cape, ZA, AF)                                                                                                     
   102.212.60.247  329276  65.798           (Cape Town, Western Cape, ZA, AF) za-cpt-as329276.anchors.atlas.ripe.net                                                              
