   182.161.74.241  55569   0.0                         (Tokyo, Tokyo, JP, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   100.66.0.44     *       0.251                                          ***                                                                                                     
   100.66.0.45     *       0.297                                          ***                                                                                                     
   61.200.91.85    2914    0.924                       (Tokyo, Tokyo, JP, AS) ce-2-2-2.a01.tokyjp09.jp.bb.gin.ntt.net                                                             
   61.200.82.186   60068   0.881                         (None, None, JP, AS) *                                                                                                   
   84.17.33.107    57695   0.868                 (Tokyo / Narita, 12, JP, AS) v3518.cr02.nrt04.jp.misaka.io                                                                       
   199.119.64.143  969     0.884                       (Tokyo, Tokyo, JP, AS) e32-20.spine2.nrt04.jp.misaka.io                                                                    
   103.170.232.11  142616  0.83                        (Tokyo, Tokyo, JP, AS) po-31.lag.nrt04.jp.misaka.io                                                                        
   103.170.232.152 142616  0.977                       (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
