   150.164.1.222   271354  0.0         (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
   150.164.1.193   271354  0.192       (Belo Horizonte, Minas Gerais, BR, SA) chronos-labexternos.dcc.ufmg.br                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   150.164.164.132 271354  0.846       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.42  271354  1.193       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   200.19.158.0    1916    1.355       (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1-gw.pop-mg.rnp.br                                                                         
   200.131.0.142   1916    0.861       (Belo Horizonte, Minas Gerais, BR, SA) ptp-almeirao-tropeiro.pop-mg.rnp.br                                                                 
   200.143.255.173 1916    1.034       (Belo Horizonte, Minas Gerais, BR, SA) cmg2-lanmg2.bkb.rnp.br                                                                              
   170.79.213.134  *       2.139       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   170.79.213.154  *       20.168      (Belo Horizonte, Minas Gerais, BR, SA) cba1-cmg1-100g-infobarra.bkb.rnp.br                                                                 
   170.79.213.31   1916    32.146                        (None, None, BR, SA) *                                                                                                   
╭─ 170.79.213.19   *       96.914      (Belo Horizonte, Minas Gerais, BR, SA) mia1-cce1-tisparkle.bkb.rnp.br                                                                      
S (, 2914)  
╰─ 129.250.200.157 2914    97.878                      (New York, NY, US, NA) xe-0-0-44-2.sayonara-dorian.a00.miamfl02.us.bb.gin.ntt.net                                          
   ***             *       -inf                                           *** *                                                                                                   
   129.250.2.219   2914    125.119                       (None, None, US, NA) ae-8.sayonara-dorian.r20.dllstx14.us.bb.gin.ntt.net                                                 
   129.250.7.69    2914    158.28                        (None, None, US, NA) ae-2.sayonara-dorian.r24.lsanca07.us.bb.gin.ntt.net                                                 
   129.250.3.140   2914    157.575          (Los Angeles, California, US, NA) ae-0.a03.lsanca07.us.bb.gin.ntt.net                                                                 
╭─ 157.238.230.53  2914    157.903          (Los Angeles, California, US, NA)                                                                                                     
S&T (2914, 32098)  
╰─ 201.174.251.25  32098   158.889              (Piedras Negras, COA, MX, NA) 201-174-251-25.transtelco.net                                                                       
   201.174.154.26  32098   171.881                    (Saltillo, COA, MX, NA) 201-174-154-26.transtelco.net                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   177.242.222.97  13999   175.57                (Hermosillo, Sonora, MX, NA) customer-qro-222-97.megared.net.mx                                                                  
   148.225.112.222 4493    162.658               (Hermosillo, Sonora, MX, NA)                                                                                                     
