   185.150.253.30  52039   0.0                     (Rennes, Brittany, FR, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   95.81.129.208   43646   12.692              (Paris, Île-de-France, FR, EU) tip-telh-r00.as43646.net                                                                            
   149.6.165.25    174     13.075              (Paris, Île-de-France, FR, EU) be5146.agr21.par04.atlas.cogentco.com                                                               
   154.54.37.237   174     13.293                        (Paris, IDF, FR, EU) be3169.ccr31.par04.atlas.cogentco.com                                                               
   154.54.38.157   174     13.515                        (Paris, IDF, FR, EU) be3184.ccr42.par01.atlas.cogentco.com                                                               
   130.117.3.54    174     21.867            (Bordeaux/Merignac, NAQ, FR, EU) be3051.rcr71.bod01.atlas.cogentco.com                                                               
   154.25.0.74     174     21.72             (Bordeaux/Merignac, NAQ, FR, EU) te0-0-2-2.nr11.b015544-0.bod01.atlas.cogentco.com                                                   
   149.6.44.19     174     20.992      (Bordeaux, Nouvelle-Aquitaine, FR, EU)                                                                                                     
   185.233.100.99  198985  21.58       (Bordeaux, Nouvelle-Aquitaine, FR, EU) ripe-atlas.aquilenet.fr                                                                             
