   45.94.14.204    208520  0.0                (Riyadh, Riyadh Region, SA, AS)                                                                                                     
   45.94.14.193    208520  0.301              (Riyadh, Riyadh Region, SA, AS)                                                                                                     
╭─ 212.138.250.7   8895    0.594              (Riyadh, Riyadh Region, SA, AS)                                                                                                     
S (8895, 3356)  seamewe-5 ✓ || asia-africa-europe-1-aae-1 ✓ || seamewe-4 ✓ || peace-cable ✘ || imewe ✓
╰─ 213.242.126.197 3356    68.537    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) et-7-0-17-3.edge4.marseille1.level3.net                                                             
   213.242.115.18  13335   89.64           (Issy-les-Moulineaux, IDF, FR, EU) *                                                                                                   
   162.158.20.240  13335   88.738    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU)                                                                                                     
   162.158.21.10   13335   88.499                    (Marseille, PAC, FR, EU) *                                                                                                   
   162.158.21.172  13335   88.607    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU)                                                                                                     
   162.158.21.32   13335   88.729                    (Marseille, PAC, FR, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
