   77.214.52.102   9158    0.0               (Aalborg, North Denmark, DK, EU)                                                                                                     
   77.214.52.101   9158    0.334                          (Farum, 84, DK, EU) *                                                                                                   
   128.76.59.97    3292    3.141         (Tranbjerg, Central Jutland, DK, EU) peer-as9158.kd3nqp7.dk.ip.tdc.net                                                                   
   128.76.59.96    3292    3.108         (Tranbjerg, Central Jutland, DK, EU) ae20-0.kd3nqp7.dk.ip.tdc.net                                                                        
   83.88.19.119    3292    6.342                         (None, None, DK, EU) ae1-0.alb2nqp8.dk.ip.tdc.net                                                                        
   87.54.6.58      9009    6.91                      (Copenhagen, 84, DK, EU) 87-54-6-58-static.dk.customer.tdc.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   83.97.21.167    9009    6.686                     (Copenhagen, 84, DK, EU) vlan2915.as04.cph1.dk.m247.com                                                                      
   37.120.131.34   59795   6.44                      (Copenhagen, 84, DK, EU) *                                                                                                   
   213.184.86.101  59795   6.384         (Copenhagen, Capital Region, DK, EU) dk-cph-as59795.anchors.atlas.ripe.net                                                               
