   103.170.232.152 142616  0.0                         (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
   ***             *       -inf                                           *** *                                                                                                   
   103.170.232.2   142616  0.281                       (Tokyo, Tokyo, JP, AS) spine1.nrt04.jp.misaka.io                                                                           
   199.119.64.140  969     0.2                         (Tokyo, Tokyo, JP, AS) e53-20.cr2a.eqty8.nrt4.jp.917.as                                                                    
   84.17.33.106    60068   0.288                       (Tokyo, Tokyo, JP, AS) po66-3518.cr01.nrt04.jp.misaka.io                                                                   
   ***             *       -inf                                           *** *                                                                                                   
╭─ 154.54.91.126   174     128.759                     (Tokyo, Tokyo, JP, AS) be2915.ccr71.gum01.atlas.cogentco.com                                                               
S (174)  
╰─ 154.54.5.174    174     128.576                      (El Paso, TX, US, NA) be2301.ccr21.elp01.atlas.cogentco.com                                                               
   154.54.40.146   174     128.789                     (San Jose, CA, US, NA) be3177.ccr22.sjc01.atlas.cogentco.com                                                               
   154.54.5.102    174     128.573                     (San Jose, CA, US, NA) be3144.ccr41.sjc03.atlas.cogentco.com                                                               
   154.54.43.13    174     129.962                (San Francisco, CA, US, NA) be3670.ccr22.sfo01.atlas.cogentco.com                                                               
   154.54.30.9     174     132.714      (West Sacramento, California, US, NA) be4446.rcr71.smf01.atlas.cogentco.com                                                               
   154.54.93.206   174     132.404      (West Sacramento, California, US, NA) be4425.agr61.smf01.atlas.cogentco.com                                                               
   154.24.35.214   174     133.969                      (Atlanta, GA, US, NA) te0-0-2-0.nr11.b000189-0.atl01.atlas.cogentco.com                                                   
   ***             *       -inf                                           *** *                                                                                                   
   173.225.174.17  17018   131.962        (San Francisco, California, US, NA)                                                                                                     
   65.74.145.159   17018   131.968        (San Francisco, California, US, NA)                                                                                                     
   23.174.128.243  53698   133.833           (Sacramento, California, US, NA) us-sac-as53698.anchors.atlas.ripe.net                                                               
