   45.87.76.6      208725  0.0           (Brussels, Brussels Capital, BE, EU) ansible.devrandom.be                                                                                
   45.87.79.252    208725  0.444         (Brussels, Brussels Capital, BE, EU) router01.sw2.core.devrandom.be                                                                      
   45.87.79.249    208725  0.266         (Brussels, Brussels Capital, BE, EU) router03.core.devrandom.be                                                                          
   109.233.104.96  48408   0.476      (Sint-Stevens-Woluwe, Flanders, BE, EU)                                                                                                     
╭─ 149.11.170.97   174     1.062         (Brussels, Brussels Capital, BE, EU) te0-3-0-3-2.201.rcr21.bru01.atlas.cogentco.com                                                      
S&T (174)  
╰─ 154.54.60.133   174     4.441           (Amsterdam, North Holland, NL, EU) be3677.ccr42.ams03.atlas.cogentco.com                                                               
   130.117.50.206  174     5.072                      (Amsterdam, NH, NL, EU) be2154.rcr22.ams06.atlas.cogentco.com                                                               
   149.14.93.146   4826    5.013                      (Amsterdam, NH, NL, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   185.51.192.48   60781   4.715             (Haarlem, North Holland, NL, EU)                                                                                                     
