   63.222.7.46     3491    0.0                 (Hong Kong, Hong Kong, HK, AS) 63-222-7-46.static.pccwglobal.net                                                                   
   63.222.7.45     3491    0.568            (Kau Wa Keng, Kwai Tsing, HK, AS) 63-222-7-45.static.pccwglobal.net                                                                   
   63.218.204.154  3491    1.18                     (Hong Kong, None, HK, AS) bundle-ether41.br02.hkg08.pccwbtn.net                                                               
   63.218.204.154  3491    1.18                     (Hong Kong, None, HK, AS) bundle-ether41.br02.hkg08.pccwbtn.net                                                               
   210.57.53.58    4637    1.388                         (None, None, HK, AS) unknown.telstraglobal.net                                                                           
   202.84.173.21   4637    3.011     (Hong Kong, Central and Western, HK, AS) i-0-3-0-6.hkck-core01.telstraglobal.net                                                             
   202.84.157.37   4637    1.887     (Hong Kong, Central and Western, HK, AS)                                                                                                     
╭─ 210.57.81.22    23944   38.451                        (None, None, HK, AS) unknown.telstraglobal.net                                                                           
S (23944)  
╰─ 182.18.209.9    23944   39.43               (Manila, Metro Manila, PH, AS)                                                                                                     
