   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.184            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.371            (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.833            (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    1.769                        (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   203.50.6.118    1221    1.64 (4.986)       (Sydney, New South Wales, AU, OC) bundle-ether3.pad-gw30.sydney.telstra.net                                                           
   203.50.13.86    1221    1.511            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.50.13.86    1221    1.511            (Sydney, New South Wales, AU, OC)                                                                                                     
   202.84.222.134  4637    146.356          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
╭─ 202.84.222.134  4637    146.356          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
S (4637)  
╰─ 202.84.141.25   4637    145.976             (San Jose, California, US, NA) i-20802.eqnx-core02.telstraglobal.net                                                               
   202.84.247.17   4637    145.512             (San Jose, California, US, NA) i-92.eqnx03.telstraglobal.net                                                                       
   134.159.61.78   4637    178.369             (San Jose, California, US, NA) pccw_global-peer.eqnx03.pr.telstraglobal.net                                                        
   63.223.43.202   3491    177.834                  (Los Angeles, CA, US, NA) Bundle-Ether5.br05.lax05.pccwbtn.net                                                                
   63.223.43.202   3491    177.834                  (Los Angeles, CA, US, NA) Bundle-Ether5.br05.lax05.pccwbtn.net                                                                
   63.217.104.122  20473   177.608                       (None, None, US, NA) 63-217-104-122.static.pccwglobal.net                                                                
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   149.248.18.65   20473   177.688          (Los Angeles, California, US, NA) 149.248.18.65.vultrusercontent.com                                                                  
