   192.168.0.130   *       0.0                                            ***                                                                                                     
   192.168.0.1     *       0.176                                          ***                                                                                                     
   172.16.254.1    *       0.231                                          ***                                                                                                     
   192.168.1.1     *       0.626                                          ***                                                                                                     
   212.156.233.254 47331   0.523 (2.007)                     (Ankara, 6, TR, AS) 212.156.233.254.static.turktelekom.com.tr                                                           
   10.0.0.78       *       7.267                                          ***                                                                                                     
   81.212.78.45    9121    5.338                     (Ankara, Ankara, TR, AS) 81.212.78.45.static.turktelekom.com.tr                                                              
   81.212.216.50   9121    5.245              (Sultanbeyli, Istanbul, TR, AS) 34-acibadem-xrs-t2-1---34-acibadem-sr12e-t3-8.statik.turktelekom.com.tr                             
   81.212.206.168  9121    6.555                         (None, None, TR, AS) 00-atakoy-xrs-t2-1---34-acibadem-xrs-t2-1.statik.turktelekom.com.tr                                 
   212.156.120.131 9121    6.178                         (None, None, TR, AS) 00-atakoy-sr12e-t3-7---00-atakoy-xrs-t2-1.statik.turktelekom.com.tr                                 
   46.31.76.82     *       6.272             (Bahçelievler, Istanbul, TR, AS) turktelekom-atakoy.comnet.com.tr                                                                    
   46.31.76.84     *       6.346                 (Istanbul, Istanbul, TR, AS) mx960_ae1--i421--atakoy_a0-mx204.comnet.com.tr                                                      
   185.73.200.67   208972  7.186                       (Istanbul, 34, TR, AS) reverse.comnetnetwork.com                                                                           
   45.12.55.11     208972  6.413                         (None, None, TR, AS) 45.12.55.11.addr-arpa.gibir.net                                                                     
   45.12.55.69     208972  6.867                 (Istanbul, Istanbul, TR, AS) 45.12.55.69.addr-arpa.gibir.net                                                                     
