   185.157.231.49  41327   0.0                      (Palermo, Sicily, IT, EU) 49-231-157-185.fibertelecom.it                                                                      
   185.157.231.48  41327   0.284                    (Palermo, Sicily, IT, EU) 48-231-157-185.fibertelecom.it                                                                      
   185.157.228.6   41327   0.507                        (Marsala, 82, IT, EU) 6-228-157-185.fibertelecom.it                                                                       
   217.29.66.21    *       24.137                   (Milan, Lombardy, IT, EU) irideos-as3302.mix-it.net                                                                           
   ***             *       -inf                                           *** *                                                                                                   
   62.196.8.238    5602    23.72                 (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    23.912                          (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    23.802                          (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.142    5602    25.089                          (Rome, 62, IT, EU) cs2-xe-1-1-0-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    23.839                   (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
